VERSION;2;
UNINSTALL;;com.android.bips
UNINSTALL;;com.android.bluetoothmidiservice
UNINSTALL;;com.android.bookmarkprovider
UNINSTALL;;com.android.chrome
UNINSTALL;;com.android.dreams.basic
UNINSTALL;;com.android.egg
UNINSTALL;;com.android.email.partnerprovider
UNINSTALL;;com.android.htmlviewer
UNINSTALL;;com.android.providers.partnerbookmarks
UNINSTALL;;com.android.sharedstoragebackup
UNINSTALL;;com.android.simappdialog
UNINSTALL;;com.android.stk
UNINSTALL;;com.android.storagemanager
UNINSTALL;;com.android.systemui.plugin.globalactions.wallet
UNINSTALL;;com.android.traceur
UNINSTALL;;com.android.wallpaper.livepicker
DEVELOPER;Google LLC;
UNINSTALL;;com.google.ambient.streaming
UNINSTALL;;com.google.android.adservices.api
UNINSTALL;;com.google.android.apps.googleassistant
UNINSTALL;;com.google.android.apps.healthdata
UNINSTALL;;com.google.android.apps.restore
UNINSTALL;;com.google.android.apps.walletnfcrel
UNINSTALL;;com.google.android.apps.wellbeing
UNINSTALL;;com.google.android.as
UNINSTALL;;com.google.android.as.oss
UNINSTALL;;com.google.android.feedback
UNINSTALL;;com.google.android.googlequicksearchbox
UNINSTALL;;com.google.android.health.connect.backuprestore
UNINSTALL;;com.google.android.healthconnect.controller
UNINSTALL;;com.google.android.keep
UNINSTALL;;com.google.android.marvin.talkback
UNINSTALL;;com.google.android.onetimeinitializer
UNINSTALL;;com.google.android.partnersetup
UNINSTALL;;com.google.android.printservice.recommendation
UNINSTALL;;com.google.android.projection.gearhead
UNINSTALL;;com.google.android.tts
UNINSTALL;;com.google.ar.core
UNINSTALL;;com.google.ar.lens
UNINSTALL;;com.google.mainline.adservices
UNINSTALL;;com.google.mainline.telemetry
DEVELOPER;Meta Platforms, Inc.;
UNINSTALL;;com.facebook.appmanager
UNINSTALL;;com.facebook.services
UNINSTALL;;com.facebook.system
DEVELOPER;Microsoft Corp.;
UNINSTALL;;com.microsoft.appmanager
UNINSTALL;;com.microsoft.deviceintegrationservice
UNINSTALL;;com.microsoftsdk.crossdeviceservicebroker
